slide_name,ground_truth,TLAgent,Quilt-LLaVA,LLaVA-Med,MedGemma,GPT-4o-agent,GPT-4o-vision,GPT-5-vision,GPT-5.4-vision,MAM,NOVA
AI-LNCO2-0002_D_HE,6.406642422928129,5.897212801738453,N/A,N/A,N/A,12.575,5.373,2.6,6.7,0.5,17.93
AI-LNCO2-0002_E_HE,5.461417508826207,3.979174552194136,N/A,N/A,N/A,1.869,2.98,4.4,9.5,0.5,6.12
AI-LNCO2-0003_D_HE,7.3389026791684975,4.224950009738606,N/A,N/A,N/A,11.40545,6.99,8.5,8.1,0.25,14.33
AI-LNCO2-0004_E_HE,9.392806379251892,7.786471368057593,N/A,N/A,N/A,14.444,4.8,0.3,13.3,0.5,15.26
AI-LNCO2-0005_F_HE,7.036290788921806,2.8418484052666977,10.0,N/A,N/A,9.36718,5.565,5.0,10.6,0.5,10.86
AI-LNCO2-0006_E_HE,17.001410309707445,13.547019304793867,N/A,N/A,N/A,15.9014,6.25,4.8,8.2,0.459896983075791,19.6
AI-LNCO2-0007_F_HE,5.903943524046221,4.627742225651608,N/A,N/A,N/A,15.79102,4.732,6.2,10,0.5,18.04
AI-LNCO2-0007_G_HE,5.097991577046578,4.658597991591765,0.0755626575292126,N/A,N/A,11.295,2.244,3.68,5.9,0.5,20.13
AI-LNCO2-0007_N_HE,3.414583844252264,3.62320935292076,0.115959,N/A,N/A,11.14054,6.18,3.0,10,0.1,20.66
AI-LNCO2-0009_D_HE,5.1314165498220135,6.155049056485995,0.0142857142857143,N/A,N/A,18.14,7.98,5.3,14.7,0.382946175,16.85
AI-LNCO2-0009_E_HE,6.341527696025733,6.569416403097101,N/A,N/A,0.088,12.64811,3.28,5.0,8.4,0.5,5.93
AI-LNCO2-0009_F_HE,8.276429831576777,7.9180272276231,N/A,N/A,N/A,16.70652,1.948,3.0,8.8,0.5,0.62
AI-LNCO2-0009_G_HE,10.47255710214617,9.90502256048607,N/A,N/A,N/A,20.02382,6.28,4.3,8,0.5,22.53
AI-LNCO2-0010_G_HE,7.470763594283135,8.211683160185869,N/A,N/A,N/A,17.66004,3.13,4.2,10.5,N/A,8.95
AI-LNCO2-0011_1E_HE,11.986339159956223,9.709857445255306,N/A,N/A,0.1103,19.42605,6.03,7.2,12,N/A,20.91
AI-LNCO2-0013_D_HE,2.393270500966361,2.0239614265006547,N/A,N/A,N/A,7.72627,1.82,1.8,9.7,0.25,10.17
AI-LNCO2-0013_E_HE,2.3748071087224347,3.640741113451245,1.11,N/A,N/A,10.09566,2.01,0.9,5.7,0.25,13.25
AI-LNCO2-0014_E_HE,7.9444549766183075,6.087594226275738,N/A,N/A,N/A,12.13,6.392,6.8,13.3,0.5,15.52
AI-LNCO2-0014_F_HE,6.335110076103479,6.354566215925707,0.0930625,N/A,N/A,14.03974,6.99,1.3,8.9,0.5,18.01
AI-LNCO2-0015_D_HE,11.234166176329524,5.777219970547147,N/A,N/A,N/A,16.4312,7.6,4.6,9.8,0.5,13.35
AI-LNCO2-0015_E_HE,8.690725327833212,3.653834730147973,N/A,N/A,0.15,11.7145,7.87,3.2,8.1,N/A,17.48
AI-LNCO2-0016_C_HE,10.85970157741869,8.849727823711424,N/A,N/A,N/A,30.54744,22.02,9.0,7.2,0.25,36.9
AI-LNCO2-0016_D_HE,16.349956719131686,6.79957689477557,N/A,N/A,N/A,16.05592,3.164,3.1,11,0.5,19.07
AI-LNCO2-0016_E_HE,10.961772204644909,7.72626931567329,1.0,N/A,N/A,17.71891,6.33,3.2,8.3,N/A,18.0
AI-LNCO2-0017_2E_HE,17.94935572951126,11.02040369003259,0.0755629391729212,N/A,N/A,18.69021,5.52,5.0,6.6,0.5,20.56
AI-LNCO2-0017_2F_HE,15.48843800214992,15.480328212728892,N/A,N/A,N/A,18.12362,5.52,6.3,8.6,0.2,22.25
AI-LNCO2-0018_D_HE,2.7166368778709105,1.857164012380274,N/A,N/A,N/A,7.81,5.37,1.6,6.5,67.8,18.62
AI-LNCO2-0018_E_HE,12.360097473835427,12.299385570081132,N/A,N/A,N/A,47.40218,17.84,7.3,15.4,N/A,47.43
AI-LNCO2-0018_F_HE,12.333467725694929,6.828708988034488,N/A,N/A,N/A,13.8337,5.22,3.2,13,0.459896983075791,17.36
AI-LNCO2-0018_G_HE,2.8814036339749363,4.42373433039256,N/A,N/A,N/A,12.259,5.45,3.6,5.8,0.5,17.16
AI-LNCO2-0019_C_HE,N/A,17.31124291891336,N/A,N/A,N/A,37.94433,8.82,3.1,10.9,0.5,37.94
AI-LNCO2-0019_D_HE,6.426930052713906,6.089257851739636,N/A,N/A,N/A,12.99926,5.52,5.6,8.1,0.5,14.96
AI-LNCO2-0019_E_HE,4.256773740396373,4.443264,N/A,N/A,N/A,14.53228,7.38,5.2,13.9,0.3,23.06
AI-LNCO2-0020_D_HE,7.9381723752367535,6.127558881868513,0.02356,N/A,N/A,16.04857,7.06,2.0,8.1,0.5,19.88
AI-LNCO2-0020_E_HE,11.13433067726779,8.405827518574094,N/A,N/A,1.103,16.79,3.42,2.3,6.3,0.5,20.13
AI-LNCO2-0020_F_HE,13.882047314852551,4.766690043197347,0.147,N/A,N/A,18.89,8.4,4.0,8,0.5,19.24
AI-LNCO2-0022_D_HE,4.789996102049846,4.434516637239623,7.35835173,N/A,N/A,13.39,6.73,5.0,5.1,N/A,7.0
AI-LNCO2-0022_E_HE,4.50264725361166,3.629062683639728,N/A,N/A,N/A,17.55703,9.11,2.6,7.1,0.25,20.12
AI-LNCO2-0023_C_HE,32.851287819071686,25.30567448691881,N/A,N/A,N/A,29.56,15.42,16.0,11.4,0.5,32.19
AI-LNCO2-0024_C_HE,10.546620501917277,10.17969434234281,N/A,N/A,N/A,27.24,11.0,3.5,7.2,0.5,30.8
AI-LNCO2-0024_D_HE,7.81115469561837,7.005908282645188,0.3,N/A,N/A,13.86,3.31,4.7,9.6,0.459896983075791,15.1
AI-LNCO2-0024_E_HE,6.805732326140195,7.520941029528056,N/A,N/A,N/A,14.51803,5.71,2.5,7.5,0.1,14.6
AI-LNCO2-0024_F_HE,9.671906957424069,10.929993709208782,N/A,N/A,N/A,18.28,7.14,6.6,9.8,0.147,0.55
AI-LNCO2-0024_G_HE,9.179116713272917,8.674245241804043,N/A,N/A,N/A,16.06,5.36,3.4,7.6,0.5,20.43
AI-LNCO2-0026_D_HE,15.125031307891833,7.511763550783752,N/A,N/A,N/A,16.416,3.31,2.8,8.1,0.5,16.41
AI-LNCO2-0027_D_HE,10.074071658914873,9.46971553906929,N/A,N/A,N/A,14.53,5.46,2.2,11.8,N/A,16.39
AI-LNCO2-0027_E_HE,7.83468749223973,6.447411131610417,N/A,N/A,N/A,4.78293,7.21,2.5,7.9,0.0,22.77
AI-LNCO2-0028_D_HE,5.246904541098848,4.168049985842749,N/A,N/A,N/A,19.18,4.673,3.5,10.2,N/A,8.24
AI-LNCO2-0028_E_HE,8.075193047284088,7.132015747737857,N/A,N/A,N/A,16.65195,4.85,4.0,8.3,0.5,18.19
AI-LNCO2-0029_D_HE,4.5817209877823855,4.017660044150111,N/A,N/A,N/A,13.94408,1.18,2.7,4.6,0.25,6.53
AI-LNCO2-0029_E_HE,2.975425032719188,2.4916469862291324,N/A,N/A,N/A,12.53863,6.25,2.6,12.4,0.1,13.82
AI-LNCO2-0030_E_HE,5.440339490904371,5.494772478096372,0.7358351729212655,N/A,N/A,18.43,3.996,2.5,8.2,0.1,10.6
AI-LNCO2-0030_F_HE,5.187206662963893,3.2576811804530768,N/A,N/A,N/A,17.5791,4.71,3.2,6.1,0.5,20.6
AI-LNCO2-0030_G_HE,4.480716158854044,3.899704271235729,N/A,N/A,N/A,18.51,5.37,1.8,8.2,0.5,19.07
AI-LNCO2-0031_F_HE,12.595328757667732,4.658597991591765,100.26,N/A,N/A,15.364,4.63,2.5,5.6,0.0,0.0
AI-LNCO2-0032_F_HE,8.069412971224986,9.576239013977144,N/A,N/A,N/A,16.09314,5.4,3.8,11.8,0.4959,18.44
AI-LNCO2-0033_D_HE,4.080551990289934,5.639647379084442,N/A,N/A,N/A,11.10375,7.06,2.1,2.7,0.5,15.85
AI-LNCO2-0033_E_HE,5.294980720728399,4.99711728326383,N/A,N/A,N/A,14.25,9.38,4.4,7.2,0.5,7.06
AI-LNCO2-0034_E_HE,10.3550548486158,5.583859404272175,N/A,N/A,N/A,19.79397,6.88,3.9,9.4,0.0,6.67
AI-LNCO2-0034_F_HE,9.860758406470053,7.343163132325366,N/A,N/A,N/A,13.9688,7.643,3.8,8.2,0.2,14.75
